mal_id,title_japanese,type,episodes,score,scored_by,rank,year,url
55791,【推しの子】第2期,TV,13,8.57,204270,108,2024,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
52034,【推しの子】,TV,11,8.57,562438,107,2023,https://myanimelist.net/anime/52034/Oshi_no_Ko
49701,斗破苍穹 三年之约,ONA,13,8.57,4669,106,,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue
32983,夏目友人帳 伍,TV,11,8.56,80778,114,2016,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
31757,傷物語〈Ⅱ熱血篇〉,Movie,1,8.56,285565,112,,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
12355,おおかみこどもの雨と雪,Movie,1,8.56,475096,116,,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
10379,夏目友人帳 参,TV,13,8.56,123852,115,2011,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
16498,進撃の巨人,TV,25,8.56,2940361,109,2013,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
877,NANA [ナナ],TV,47,8.56,282124,113,2006,https://myanimelist.net/anime/877/Nana
32,"新世紀エヴァンゲリオン劇場版 Air / まごころを, 君に",Movie,1,8.56,661404,110,,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
40456,劇場版 鬼滅の刃 無限列車編,Movie,1,8.56,1110088,111,,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
53447,凸变英雄X,ONA,24,8.55,23355,122,,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X
28735,昭和元禄落語心中,TV,13,8.55,97538,120,2016,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
36098,君の膵臓をたべたい,Movie,1,8.55,627538,118,,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
7785,四畳半神話大系,TV,11,8.55,152041,123,2010,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
437,パーフェクトブルー,Movie,1,8.55,413395,119,,https://myanimelist.net/anime/437/Perfect_Blue
170,スラムダンク,TV,101,8.55,145612,121,1993,https://myanimelist.net/anime/170/Slam_Dunk
